frequency,transmission_loss,grid_size,radius,inner_radius,gap_width
7305.36858250839,-27.524401686174297,0.022,0.009,0.0045,0.006749999999999999
7862.181197239334,-58.108437211080044,0.022,0.009,0.0045,0.006749999999999999
12848.19340025256,-35.06045576923151,0.022,0.0084,0.00756,0.008693999999999999
12866.333820455608,-37.16497192470704,0.022,0.0084,0.00756,0.008693999999999999
13458.53604413269,-58.107416746895524,0.022,0.0084,0.00756,0.008693999999999999
13519.095839352829,-58.60778159471316,0.022,0.0084,0.00756,0.008693999999999999
13719.269205795707,-60.38328162059842,0.022,0.0084,0.00756,0.008693999999999999
13751.259890912585,-58.44065789303655,0.022,0.0084,0.00756,0.008693999999999999
13956.781059687497,-62.62233186466471,0.022,0.0084,0.00756,0.008693999999999999
13962.360498500897,-62.678186537111564,0.022,0.0084,0.00756,0.008693999999999999
14049.558956113342,-63.55923466362344,0.022,0.0084,0.00756,0.008693999999999999
14091.758374895404,-63.99380915640318,0.022,0.0084,0.00756,0.008693999999999999
14419.15714631317,-67.5518192891967,0.022,0.0084,0.00756,0.008693999999999999
14530.765272272978,-68.48521006368077,0.022,0.0084,0.00756,0.008693999999999999
14653.526930801856,-6.260872051971682,0.022,0.0084,0.00756,0.008693999999999999
15030.964232766562,-8.61299876478185,0.022,0.0084,0.00756,0.008693999999999999
15236.083364726064,-1.1680479449876464,0.022,0.0084,0.00756,0.008693999999999999
15671.113149199291,-13.933535647820834,0.022,0.0084,0.00756,0.008693999999999999
15751.333007445171,-22.400522103095053,0.022,0.0084,0.00756,0.008693999999999999
15822.2190834301,-30.273156012662632,0.022,0.0084,0.00756,0.008693999999999999
15860.709354005645,-32.4274162841523,0.022,0.0084,0.00756,0.008693999999999999
6567.39648788887,-52.38211001849678,0.022,0.0066,0.0033,0.0037949999999999998
6568.639343377519,-52.30219128719633,0.022,0.0066,0.0033,0.0037949999999999998
6588.981313519057,-50.24655963083103,0.022,0.0066,0.0033,0.0037949999999999998
7324.325958205453,-0.04092157869602463,0.022,0.0066,0.0033,0.0037949999999999998
7535.557011239175,-0.9323245289882838,0.022,0.0066,0.0033,0.0037949999999999998
